40068,9c8,D,ACT - RFS OPS 1,RFS Ops 1,ACT Government Talkgroup,,3
40073,9c8,D,ACT - RFS OPS 6,RFS Ops 6,ACT Government Talkgroup,,3
40077,9c8,D,ACT - RFS PLT OPS,RFS Plant Ops,ACT Government Talkgroup,,3
40078,9c8,D,ACT - SES OPS 1,SES Ops 1,ACT Government Talkgroup,,3
40087,9c9,D,ACT - SES OPS 10,SES Ops 10,ACT Government Talkgroup,,3
40088,9c9,D,ACT - SES OPS 11,SES Ops 11,ACT Government Talkgroup,,3
40079,9c8,D,ACT - SES OPS 2,SES Ops 2,ACT Government Talkgroup,,3
40080,9c9,D,ACT - SES OPS 3,SES Ops 3,ACT Government Talkgroup,,3
40081,9c9,D,ACT - SES OPS 4,SES Ops 4,ACT Government Talkgroup,,3
40082,9c9,D,ACT - SES OPS 5,SES Ops 5 - Vehicle Talkgroup,ACT Government Talkgroup,,3
40083,9c9,D,ACT - SES OPS 6,SES Ops 6,ACT Government Talkgroup,,3
40084,9c9,D,ACT - SES OPS 7,SES Ops 7,ACT Government Talkgroup,,3
40085,9c9,D,ACT - SES OPS 8,SES Ops 8,ACT Government Talkgroup,,3
40086,9c9,D,ACT - SES OPS 9,SES Ops 9,ACT Government Talkgroup,,3
40067,9c8,D,ACT - TAMS PARKING,TAMS Parking Enforcement,ACT Government Talkgroup,,3
40050,9c7,D,ACT - UNK-TGID,Unknown Talkgroup ID,ACT Government Talkgroup,,3
40052,9c7,D,ACT - UNK-TGID,Unknown Talkgroup ID,ACT Government Talkgroup,,3
40051,9c7,D,ACT - UNK-TGID,Unknown Talkgroup ID,ACT Government Talkgroup,,3
11376,2c7,D,ARTC - CH X01,Australian Rail Track Corporation Channel 1,Australian Rail Track Corporation,,3
11377,2c7,D,ARTC - CH X02,Australian Rail Track Corporation Channel 2,Australian Rail Track Corporation,,3
11378,2c7,D,ARTC - CH X03,Australian Rail Track Corporation Channel 3,Australian Rail Track Corporation,,3
11379,2c7,D,ARTC - CH X04,Australian Rail Track Corporation Channel 4,Australian Rail Track Corporation,,3
11380,2c7,D,ARTC - CH X05,Australian Rail Track Corporation Channel 5,Australian Rail Track Corporation,,3
11381,2c7,D,ARTC - CH X06,Australian Rail Track Corporation Channel 6,Australian Rail Track Corporation,,3
11382,2c7,D,ARTC - CH X07,Australian Rail Track Corporation Channel 7,Australian Rail Track Corporation,,3
11383,2c7,D,ARTC - CH X08,Australian Rail Track Corporation Channel 8,Australian Rail Track Corporation,,3
11384,2c7,D,ARTC - CH X09,Australian Rail Track Corporation Channel 9,Australian Rail Track Corporation,,3
11385,2c7,D,ARTC - CH X10,Australian Rail Track Corporation Channel 10,Australian Rail Track Corporation,,3
11386,2c7,D,ARTC - CH X11,Australian Rail Track Corporation Channel 11,Australian Rail Track Corporation,,3
11387,2c7,D,ARTC - CH X12,Australian Rail Track Corporation Channel 12,Australian Rail Track Corporation,,3
11388,2c7,D,ARTC - CH X13,Australian Rail Track Corporation Channel 13,Australian Rail Track Corporation,,3
11389,2c7,D,ARTC - CH X14,Australian Rail Track Corporation Channel 14,Australian Rail Track Corporation,,3
11390,2c7,D,ARTC - CH X15,Australian Rail Track Corporation Channel 15,Australian Rail Track Corporation,,3
11391,2c7,D,ARTC - CH X16,Australian Rail Track Corporation Channel 16,Australian Rail Track Corporation,,3
10353,287,D,ASNSW  - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
10325,285,D,ASNSW - 1 NTH OPS,Sydney - North Operations,Ambulance Service of NSW,,3
10301,283,D,ASNSW - 1 STATE,Administration - State Operations / MRU,Ambulance Service of NSW,,3
10332,285,D,ASNSW - 10 ECP 1,Sydney - Extended Care Paramedic 1,Ambulance Service of NSW,,3
10310,284,D,ASNSW - 10 NSCC A/H,Administration - North Sydney/Central Coast AHS,Ambulance Service of NSW,,3
10333,285,D,ASNSW - 11 ECP 2,Sydney - Extended Care Paramedic 2,Ambulance Service of NSW,,3
10311,284,D,ASNSW - 11 S/W A/H,Administration - Sydney West AHS,Ambulance Service of NSW,,3
10334,285,D,ASNSW - 12 INCDNT 1,Sydney - Incident 1,Ambulance Service of NSW,,3
10312,284,D,ASNSW - 12 SSW A/H,Administration - Sydney South West AHS,Ambulance Service of NSW,,3
10335,285,D,ASNSW - 13 INCDNT 2,Sydney - Incident 2,Ambulance Service of NSW,,3
10313,284,D,ASNSW - 13 SESI A/H,Administration - South Eastern Sydney/Illawarra AHS,Ambulance Service of NSW,,3
10314,284,D,ASNSW - 14 A/H INCDT,Administration - AHS Incident 1,Ambulance Service of NSW,,3
10336,286,D,ASNSW - 14 INCDNT 3,Sydney - Incident 3,Ambulance Service of NSW,,3
10315,284,D,ASNSW - 15 A/H INCDT,Administration - AHS Incident 2,Ambulance Service of NSW,,3
10337,286,D,ASNSW - 15 INCDNT 4,Sydney - Incident 4,Ambulance Service of NSW,,3
10316,284,D,ASNSW - 16 A/H INCDT,Administration - AHS Incident 3,Ambulance Service of NSW,,3
10338,286,D,ASNSW - 16 INCDNT 5,Sydney - Incident 5,Ambulance Service of NSW,,3
10339,286,D,ASNSW - 17 INCDNT 6,Sydney - Incident 6,Ambulance Service of NSW,,3
10317,284,D,ASNSW - 17 MEDI 1,Administration - Medical 1,Ambulance Service of NSW,,3
10340,286,D,ASNSW - 18 INCDNT 7,Sydney - Incident 7,Ambulance Service of NSW,,3
10318,284,D,ASNSW - 18 MEDI 2,Administration - Medical 2,Ambulance Service of NSW,,3
30334,767,D,ASNSW - 19 L S/W OPS,Sydney - Lower South West Operations,Ambulance Service of NSW,,3
10341,286,D,ASNSW - 19 SPORTS,Sydney - Sports,Ambulance Service of NSW,,3
10326,285,D,ASNSW - 2 STH OPS,Sydney - South Operations,Ambulance Service of NSW,,3
10302,283,D,ASNSW - 2 TG 2,Administration - Talkgroup 2,Ambulance Service of NSW,,3
10342,286,D,ASNSW - 20 WRKSHPS,Sydney - Workshops,Ambulance Service of NSW,,3
10343,286,D,ASNSW - 21 NTH HOSP,Sydney - Hospital North,Ambulance Service of NSW,,3
10344,286,D,ASNSW - 22 STH HOSP,Sydney - Hospital South,Ambulance Service of NSW,,3
10345,286,D,ASNSW - 23 EST HOSP,Sydney - Hospital East,Ambulance Service of NSW,,3
10346,286,D,ASNSW - 24 WST HOSP,Sydney - Hospital West,Ambulance Service of NSW,,3
30333,767,D,ASNSW - 3 CENT OPS,Sydney - Central Operations,Ambulance Service of NSW,,3
10303,283,D,ASNSW - 3 TG 3,Administration - Talkgroup 3,Ambulance Service of NSW,,3
10327,285,D,ASNSW - 4 EAST OPS,Sydney - East Operations,Ambulance Service of NSW,,3
10304,284,D,ASNSW - 4 TG 4,Administration - Talkgroup 4,Ambulance Service of NSW,,3
10305,284,D,ASNSW - 5 TG EDU,Administration - Education Services,Ambulance Service of NSW,,3
10306,284,D,ASNSW - 6 NETS,Administration - Newborn Emergency Transport Service,Ambulance Service of NSW,,3
10328,285,D,ASNSW - 6 WEST OPS,Sydney - West Operations,Ambulance Service of NSW,,3
10307,284,D,ASNSW - 7 PUB HLTH,Administration - Public Health Service Liaison,Ambulance Service of NSW,,3
10329,285,D,ASNSW - 7 S/W OPS,Sydney - South West Operations,Ambulance Service of NSW,,3
10330,285,D,ASNSW - 8 F S/W OPS,Sydney - Far South West Operations,Ambulance Service of NSW,,3
10308,284,D,ASNSW - 8 G/WEST A/H,Administration - Greater West AHS,Ambulance Service of NSW,,3
10309,284,D,ASNSW - 9 HU A/H,Administration - Hunter AHS,Ambulance Service of NSW,,3
10331,285,D,ASNSW - 9 RUR OPS,Sydney - Rural Operations,Ambulance Service of NSW,,3
30320,767,D,ASNSW - ACT AMB,South - ACT Ambulance Liaison,Ambulance Service of NSW,,3
30307,766,D,ASNSW - ECP 3,South - Extended Care Paramedic 3,Ambulance Service of NSW,,3
20304,4f5,D,ASNSW - ECP 4,North - Extended Care Paramedic 4,Ambulance Service of NSW,,3
20314,4f5,D,ASNSW - ECP 5,West - Extended Care Paramedic 5,Ambulance Service of NSW,,3
10351,286,D,ASNSW - FAULT REPORT,All - Fault Reporting/Testing,Ambulance Service of NSW,,3
30301,765,D,ASNSW - FSC OPS,South - Far South Coast Operations,Ambulance Service of NSW,,3
20303,4f4,D,ASNSW - GOS OPS,North - Gosford Operations,Ambulance Service of NSW,,3
30315,766,D,ASNSW - GOULB HOSP,South - Goulburn Hospitals,Ambulance Service of NSW,,3
20318,4f5,D,ASNSW - HOSP 1,West - Hospital 1,Ambulance Service of NSW,,3
20319,4f5,D,ASNSW - HOSP 2,West - Hospital 2,Ambulance Service of NSW,,3
20320,4f6,D,ASNSW - HUN HOSP,North - Hunter Hospitals,Ambulance Service of NSW,,3
30302,765,D,ASNSW - ILLA OPS,South - Illawarra Operations,Ambulance Service of NSW,,3
30314,766,D,ASNSW - ILLAW HOSP,South - Illawarra Hospitals,Ambulance Service of NSW,,3
20305,4f5,D,ASNSW - INCIDENT 1,North - Incident 1,Ambulance Service of NSW,,3
30308,766,D,ASNSW - INCIDENT 1,South - Incident 1,Ambulance Service of NSW,,3
20315,4f5,D,ASNSW - INCIDENT 1,West - Incident 1,Ambulance Service of NSW,,3
20316,4f5,D,ASNSW - INCIDENT 2,West - Incident 2,Ambulance Service of NSW,,3
20306,4f5,D,ASNSW - INCIDENT 2,North - Incident 2,Ambulance Service of NSW,,3
30309,766,D,ASNSW - INCIDENT 2,South - Incident 2,Ambulance Service of NSW,,3
30310,766,D,ASNSW - INCIDENT 3,South - Incident 3,Ambulance Service of NSW,,3
20317,4f5,D,ASNSW - INCIDENT 3,West - Incident 3,Ambulance Service of NSW,,3
20307,4f5,D,ASNSW - INCIDENT 3,North - Incident 3,Ambulance Service of NSW,,3
20308,4f5,D,ASNSW - INCIDENT 4,North - Incident 4,Ambulance Service of NSW,,3
30311,766,D,ASNSW - INCIDENT 4,South - Incident 4,Ambulance Service of NSW,,3
30312,766,D,ASNSW - INCIDENT 5,South - Incident 5,Ambulance Service of NSW,,3
30313,766,D,ASNSW - INCIDENT 6,South - Incident 6,Ambulance Service of NSW,,3
10358,287,D,ASNSW - IT SUPPORT,All - IT Support,Ambulance Service of NSW,,3
20310,4f5,D,ASNSW - MACQ 1,West - Macquarie Operations 1,Ambulance Service of NSW,,3
20311,4f5,D,ASNSW - MACQ 2,West - Macquarie Operations 2,Ambulance Service of NSW,,3
20309,4f5,D,ASNSW - MID WEST,West - Mid West Operations,Ambulance Service of NSW,,3
30306,766,D,ASNSW - MURRAY OPS,South - Murray Operations,Ambulance Service of NSW,,3
20312,4f5,D,ASNSW - NEW ENG 1,West - New England Operations 1,Ambulance Service of NSW,,3
20313,4f5,D,ASNSW - NEW ENG 2,West - New England Operations 2,Ambulance Service of NSW,,3
20301,4f4,D,ASNSW - NEWC OPS,North - Newcastle Operations,Ambulance Service of NSW,,3
20302,4f4,D,ASNSW - OHUN OPS,North - Outer Hunter Operations,Ambulance Service of NSW,,3
10319,284,D,ASNSW - PTO OPS 1,Patient Transport - Operations 1,Ambulance Service of NSW,,3
10320,285,D,ASNSW - PTO OPS 2,Patient Transport - Operations 2,Ambulance Service of NSW,,3
10321,285,D,ASNSW - PTO OPS 3,Patient Transport - Operations 3,Ambulance Service of NSW,,3
10322,285,D,ASNSW - PTO OPS 4,Patient Transport - Operations 4,Ambulance Service of NSW,,3
10323,285,D,ASNSW - PTO OPS 5,Patient Transport - Operations 5,Ambulance Service of NSW,,3
10324,285,D,ASNSW - PTO OPS 6,Patient Transport - Operations 6,Ambulance Service of NSW,,3
30305,766,D,ASNSW - RIV OPS,South - Riverina Operations,Ambulance Service of NSW,,3
30316,766,D,ASNSW - S/HAVEN OPS,South - Shoalhaven Operations,Ambulance Service of NSW,,3
30321,767,D,ASNSW - STH EAST OPS,South - South East Operations,Ambulance Service of NSW,,3
30330,767,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
30339,768,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
10354,287,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
30326,767,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
30349,768,D,ASNSW - UNK-TGID,ASNSW - Unknown TGID,Ambulance Service of NSW,,3
10355,287,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
30327,767,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
20326,4f6,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
10356,287,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
10357,287,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
10352,287,D,ASNSW - UNK-TGID,Unknown Talkgroup ID,Ambulance Service of NSW,,3
